position,rank,name,lastName,uri,imageUri,worth,worthChange,age,source,industry,gender,country,title,timestamp,archivedWorth
313,312,Milane Frantz,Frantz,milane-frantz,milane-frantz,4883.772,-45.747,46,pipelines,Energy,F,United States,,1448641501521,6200
314,314,He Qiaonv,He,he-qiaonv,he-qiaonv,4868.041,2041.781,49,landscape architecture,Service,F,China,,1448641501521,
315,315,Nassef Sawiris,Sawiris,nassef-sawiris,nassef-sawiris,4854.502,-13.646,54,"construction, chemicals",Construction & Engineering,M,Egypt,,1448641501521,6300
316,316,Mark Shoen,Shoen,mark-shoen,no-pic,4851.327,20.937,64,U-Haul,Automotive,M,United States,,1448641501521,4600
317,317,Richard Branson,Branson,richard-branson,richard-branson,4846.665,-5.525,65,Virgin,Diversified,M,United Kingdom,,1448641501521,4800
318,318,Robert Kraft,Kraft,robert-kraft,robert-kraft,4838,0,74,New England Patriots,Sports,M,United States,"Chairman & CEO, The Kraft Group",1448641501521,4300
319,319,Ira Rennert,Rennert,ira-rennert,ira-rennert,4829,0,81,investments,Investments,M,United States,,1448641501521,6100
320,320,James Dyson,Dyson,james-dyson,james-dyson,4822.909,0,68,vacuums,Manufacturing,M,United Kingdom,,1448641501521,4900
321,321,Gustaf Douglas,Douglas,gustaf-douglas,gustaf-douglas,4820.412,-43.559,77,security,Service,M,Sweden,,1448641501521,4200
322,322,Li Hejun,Li,li-hejun,li-hejun,4816.394,0,48,renewable energy,Energy,M,China,,1448641501521,21100
323,323,Chairul Tanjung,Tanjung,chairul-tanjung,chairul-tanjung,4813.684,-3.72,53,diversified,Diversified,M,Indonesia,,1448641501521,4300
324,324,Vivien Chen,Chen,vivien-chen,vivien-chen,4797.972,0,56,real estate,Real Estate,F,Hong Kong,,1448641501521,5200
325,325,Juan Roig,Roig,juan-roig,juan-roig,4794.48,0,66,supermarkets,Fashion and Retail,M,Spain,,1448641501521,5400
326,326,Pankaj Patel,Patel,pankaj-patel,pankaj-patel,4789.058,-23.077,62,pharmaceuticals,Healthcare,M,India,,1448641501521,3900
327,327,Chung Mong-Koo,Chung,chung-mong-koo,chung-mong-koo,4781.71,140.745,77,motor vehicles,Automotive,M,South Korea,,1448641501521,5700
328,328,Hui Wing Mau,Hui,hui-wing-mau,hui-wing-mau,4762.739,-106.383,65,real estate,Real Estate,M,Hong Kong,,1448641501521,5400
329,329,John Doerr,Doerr,john-doerr,john-doerr,4750.523,2.378,64,venture capital,Technology,M,United States,"General Partner, Kleiner Perkins Caufield &#38; Byers",1448641501521,3400
330,330,Israel Englander,Englander,israel-englander,israel-englander,4750,0,67,hedge funds,Investments,M,United States,"Founder, Millennium Management, L.L.C.",1448641501521,3800
331,331,Jin Sook & Do Won Chang,Chang,jin-sook-do-won-chang,jin-sook-do-won-chang,4742.561,0,56,fashion retail,Fashion and Retail,,United States,,1448641501521,5900
332,332,Adi Godrej,Godrej,adi-godrej,adi-godrej,4726.071,30.221,73,consumer goods,Diversified,M,India,,1448641501521,4800
333,333,Jamshyd Godrej,Godrej,jamshyd-godrej,jamshyd-godrej,4726.068,30.221,66,consumer goods,Diversified,M,India,,1448641501521,4800
334,334,Dan Olsson,Olsson,dan-olsson,dan-olsson,4718.025,0,68,diversified,Diversified,M,Sweden,,1448641501521,5100
335,335,Leon Black,Black,leon-black,leon-black,4717.105,-7.418,64,private equity,Investments,M,United States,,1448641501521,5300
336,336,Sri Prakash Lohia,Lohia,sri-prakash-lohia,sri-prakash-lohia,4706.827,-4.807,63,polyester,Manufacturing,M,Indonesia,,1448641501521,4700
337,337,David Shaw,Shaw,david-shaw,david-shaw,4700,0,64,hedge funds,Investments,M,United States,"Founder, D. E. Shaw &#38; Co., L.P.",1448641501521,4100
338,338,Michael Herz,Herz,michael-herz,michael-herz,4699.738,-7.508,72,coffee,Fashion and Retail,M,Germany,,1448641501521,4500
339,338,Wolfgang Herz,Herz,wolfgang-herz,no-pic,4699.738,-7.508,64,coffee,Fashion and Retail,M,Germany,,1448641501521,4500
340,340,Richard Li,Li,richard-li,richard-li,4695.926,-4.867,49,telecom,Telecom,M,Hong Kong,,1448641501521,4500
341,341,Paul Tudor Jones II,Jones,paul-tudor-jones-ii,paul-tudor-jones-ii,4690,0,61,hedge funds,Investments,M,United States,"Founder, Tudor Investment Corporation",1448641501521,4600
342,342,Samvel Karapetyan,Karapetyan,samvel-karapetyan,samvel-karapetyan,4689.812,0,50,development,Construction & Engineering,M,Russia,,1448641501521,4000
343,343,Sergei Popov,Popov,sergei-popov,sergei-popov,4684.929,0.149,44,banking,Finance,M,Russia,,1448641501521,4600
344,344,Karl-Heinz Kipp,Kipp,karl-heinz-kipp,no-pic,4675.342,0,91,retail,Fashion and Retail,M,Germany,,1448641501521,5000
345,345,Paolo & Gianfelice Mario Rocca,Rocca,paolo-gianfelice-mario-rocca,paolo-gianfelice-mario-rocca,4654.311,33.229,,pipe manufacturing,Metals & Mining,M,Italy,,1448641501521,5200
346,346,George Roberts,Roberts,george-roberts,george-roberts,4651.206,-3.468,72,private equity,Investments,M,United States,,1448641501521,5200
347,347,Henry Kravis,Kravis,henry-kravis,henry-kravis,4641.7,-3.36,71,private equity,Investments,M,United States,"Co-Chair and Co-CEO, KKR and Co",1448641501521,5200
348,348,Quek Leng Chan,Quek,quek-leng-chan,quek-leng-chan,4625.87,0,74,"banking, real estate",Diversified,M,Malaysia,,1448641501521,5600
349,349,James Irving,Irving,james-irving-1,james-irving-1,4616.551,0,87,diversified,Diversified,M,Canada,,1448641501521,6500
350,350,Matthias Reimann-Andersen,Reimann-Andersen,matthias-reimann-andersen,no-pic,4591.459,-8.634,50,consumer goods,Retail,M,Germany,,1448641501521,4000
351,350,Renate Reimann-Haas,Reimann-Haas,renate-reimann-haas,no-pic-female,4591.459,-8.634,64,consumer goods,Retail,F,Germany,,1448641501521,4000
352,350,Stefan Reimann-Andersen,Reimann-Andersen,stefan-reimann-andersen,no-pic,4591.459,-8.634,52,consumer goods,Retail,M,Germany,,1448641501521,4000
353,350,Wolfgang Reimann,Reimann,wolfgang-reimann,no-pic,4591.459,-8.634,63,consumer goods,Retail,M,Germany,,1448641501521,4000
354,354,Jeronimo Arango,Arango,jeronimo-arango,no-pic,4577.356,-26.308,89,retail,Fashion and Retail,M,Mexico,,1448641501521,4300
355,355,Tong Jinquan,Tong,tong-jinquan,no-pic,4570.212,0,61,real estate,Real Estate,M,China,,1448641501521,4700
356,356,Ludwig Merckle,Merckle,ludwig-merckle,ludwig-merckle,4570.1,10.482,50,pharmaceuticals,Investments,M,Germany,,1448641501521,4600
357,357,Albert Frere,Frere,albert-frere,albert-frere,4558.948,0,89,investments,Investments,M,Belgium,,1448641501521,4900
358,358,Teh Hong Piow,Teh,teh-hong-piow,teh-hong-piow,4543.364,1.353,85,banking,Finance,M,Malaysia,,1448641501521,5400
359,359,Qi Shi,Qi,qi-shi,qi-shi,4541.938,-560.484,45,internet portal,Technology,M,China,,1448641501521,2800
360,360,Ralph Dommermuth,Dommermuth,ralph-dommermuth,ralph-dommermuth,4539.641,33.471,52,internet service provider,Technology,M,Germany,,1448641501521,3900
361,361,Frank Lowy,Lowy,frank-lowy,frank-lowy,4533.266,-28.294,85,shopping malls,Real Estate,M,Australia,,1448641501521,4900
362,362,Guenther Fielmann,Fielmann,guenther-fielmann,guenther-fielmann,4513.919,21.054,76,optometry,Healthcare,M,Germany,,1448641501521,4400
363,363,Brian Acton,Acton,brian-acton,brian-acton,4511.504,-7.354,43,WhatsApp,Technology,M,United States,,1448641501521,3400
364,364,Frits Goldschmeding,Goldschmeding,frits-goldschmeding,frits-goldschmeding,4509.25,-29.386,82,temp agency,Service,M,Netherlands,,1448641501521,4100
365,365,Donald Trump,Trump,donald-trump,donald-trump,4508.1,0,69,"television, real estate",Real Estate,M,United States,,1448641501521,4100
366,366,Elizabeth Holmes,Holmes,elizabeth-holmes,elizabeth-holmes,4500,0,31,blood testing,Healthcare,F,United States,"Founder-CEO, Theranos",1448641501521,4500
367,367,Phillip Frost,Frost,phillip-frost,phillip-frost,4499.128,-11.311,79,pharmaceuticals,Healthcare,M,United States,,1448641501521,4700
368,368,Qiu Guanghe,Qiu,qiu-guanghe,qiu-guanghe,4498.356,-233.54,64,apparel retail,Fashion and Retail,M,China,,1448641501521,3600
369,369,Juan-Miguel Villar Mir,Villar Mir,juan-miguel-villar-mir,juan-miguel-villar-mir,4496.406,25.615,84,construction,Construction & Engineering,M,Spain,,1448641501521,5700
370,370,Wee Cho Yaw,Wee,wee-cho-yaw,wee-cho-yaw,4493.526,-62.785,86,banking,Finance,M,Singapore,,1448641501521,5500
371,371,Liu Yonghao,Liu,liu-yonghao,liu-yonghao,4471.695,-55.732,64,agribusiness,Service,M,China,,1448641501521,4700
372,372,Kunio Busujima,Busujima,kunio-busujima,kunio-busujima,4468.88,3.6,90,pachinko machines,Gaming,M,Japan,,1448641501521,4500
373,373,Reid Hoffman,Hoffman,reid-hoffman,reid-hoffman,4460.993,-27.875,48,LinkedIn,Technology,M,United States,"Chairman and Cofounder, LinkedIn",1448641501521,4700
374,374,Viktor Rashnikov,Rashnikov,viktor-rashnikov,viktor-rashnikov,4448.655,-117.376,67,steel,Manufacturing,M,Russia,,1448641501521,3500
375,375,Pierre Bellon,Bellon,pierre-bellon,pierre-bellon,4447.382,24.528,85,food services,Service,M,France,,1448641501521,4500
376,376,Isak Andic,Andic,isak-andic,isak-andic,4439.423,-0.803,62,clothing retail,Fashion and Retail,M,Spain,,1448641501521,4800
377,377,Leonid Fedun,Fedun,leonid-fedun,leonid-fedun,4431.051,-85.512,59,oil,Energy,M,Russia,,1448641501521,5300
378,378,Randal Kirk,Kirk,randal-kirk,randal-kirk,4429.43,-20.536,61,pharmaceuticals,Healthcare,M,United States,,1448641501521,4600
379,379,Stein Erik Hagen,Hagen,stein-erik-hagen,stein-erik-hagen,4400.46,-19.755,59,retail,Fashion and Retail,M,Norway,,1448641501521,4700
380,380,Jerry Speyer,Speyer,jerry-speyer,jerry-speyer,4400,0,75,real estate,Real Estate,M,United States,,1448641501521,4000
381,380,Stanley Druckenmiller,Druckenmiller,stanley-druckenmiller,stanley-druckenmiller,4400,0,62,hedge funds,Investments,M,United States,,1448641501521,3100
382,382,Edward Roski Jr,Roski,edward-roski-jr,edward-roski-jr,4397.26,0,76,real estate,Real Estate,M,United States,"President and Chairman, Majestic Realty, Co.",1448641501521,4000
383,383,Ian & Richard Livingstone,Livingstone,ian-richard-livingstone,ian-richard-livingstone,4395.375,0,,real estate,Real Estate,M,United Kingdom,,1448641501521,4400
384,384,John Sall,Sall,john-sall,john-sall,4365.683,0,67,software,Technology,M,United States,"Co-Founder, Executive Vice President, SAS Institute",1448641501521,3700
385,385,Keiichiro Takahara,Takahara,keiichiro-takahara,keiichiro-takahara,4337.175,-33.302,84,diapers,Manufacturing,M,Japan,,1448641501521,5600
386,386,Zhou Yahui,Zhou,zhou-yahui-1,no-pic,4336.81,-324.561,38,online games,Technology,M,China,,1448641501521,1650
387,387,Frederik Paulsen,Paulsen,frederik-paulsen,frederik-paulsen,4313.671,0,65,health care,Medicine,M,Sweden,,1448641501521,4900
388,388,Wang Wenxue,Wang,wang-wenxue,wang-wenxue,4302.466,-306.428,48,real estate,Real Estate,M,China,,1448641501521,3200
389,389,Heinrich Deichmann,Deichmann,heinrich-deichmann,heinrich-deichmann,4289.957,0,52,Footwear,Fashion and Retail,M,Germany,,1448641501521,4600
390,390,Odd Reitan,Reitan,odd-reitan,odd-reitan,4286.365,0,64,"retail, real estate",Retail,M,Norway,,1448641501521,5200
391,391,Stewart and Lynda Resnick,Resnick,stewart-and-lynda-resnick,stewart-and-lynda-resnick,4284.07,0,,"agriculture, water",Food and Beverage,,United States,,1448641501521,4200
392,392,Reinhold Schmieding,Schmieding,reinhold-schmieding,reinhold-schmieding,4283.918,0,60,medical devices,Healthcare,M,United States,,1448641501521,4000
393,393,Jeffrey Skoll,Skoll,jeffrey-skoll,jeffrey-skoll,4280.91,-11.83,50,eBay,Technology,M,United States,,1448641501521,3900
394,394,Karen Pritzker,Pritzker,karen-pritzker,karen-pritzker,4251.972,-2.722,57,"hotels, investments",Service,F,United States,,1448641501521,4300
395,395,Jim Davis,Davis,jim-davis,jim-davis,4229.05,0,72,New Balance,Manufacturing,M,United States,"Chairman, New Balance",1448641501521,3600
396,396,Dona Bertarelli,Bertarelli,dona-bertarelli,dona-bertarelli,4226.622,-3.591,47,biotech,Business,F,Switzerland,,1448641501521,4600
397,397,Ann Walton Kroenke,Kroenke,ann-walton-kroenke,ann-walton-kroenke,4221.2,-11,66,Wal-Mart,Fashion and Retail,F,United States,,1448641501521,5600
398,398,Han Chang-Woo,Han,han-chang-woo,han-chang-woo,4214.969,0,84,pachinko parlors,Gaming,M,Japan,,1448641501521,4200
399,399,Bernard (Barry) Sherman,Sherman,bernard-barry-sherman,bernard-barry-sherman,4213.235,-0.023,73,pharmaceuticals,Healthcare,M,Canada,"Chairman and CEO, Apotex",1448641501521,3900
400,400,Liang Wengen,Liang,liang-wengen,liang-wengen,4212.644,-210.412,58,construction equipment,Manufacturing,M,China,,1448641501521,4900
401,401,Thomas Schmidheiny,Schmidheiny,thomas-schmidheiny,thomas-schmidheiny,4207.804,-60.713,69,cement,Construction & Engineering,M,Switzerland,,1448641501521,5500
402,402,Vanich Chaiyawan,Chaiyawan,vanich-chaiyawan,vanich-chaiyawan,4196.049,0,83,"insurance, beverages",Finance,M,Thailand,,1448641501521,3700
403,403,Harry Triguboff,Triguboff,harry-triguboff,harry-triguboff,4195.553,0,82,property,Real Estate,M,Australia,,1448641501521,5400
404,404,Whitney MacMillan,MacMillan,whitney-macmillan,whitney-macmillan,4155.127,0,86,Cargill,Food and Beverage,M,United States,,1448641501521,4700
405,405,Masatoshi Ito,Ito,masatoshi-ito,masatoshi-ito,4154.405,-23.017,91,retail,Fashion and Retail,M,Japan,,1448641501521,3400
406,406,Marc Benioff,Benioff,marc-benioff,marc-benioff,4151.886,-26.725,51,business software,Technology,M,United States,"Chairman and CEO, Salesforce.com",1448641501521,3400
407,407,Jeremy Jacobs Sr,Jacobs,jeremy-jacobs-sr,jeremy-jacobs-sr,4137.784,0,75,sports concessions,Service,M,United States,,1448641501521,3600
408,408,Lucio Tan,Tan,lucio-tan,lucio-tan,4137.434,7.22,81,diversified,Diversified,M,Philippines,,1448641501521,4400
409,409,Kelcy Warren,Warren,kelcy-warren,kelcy-warren,4135.305,-72.318,60,pipelines,Energy,M,United States,,1448641501521,6200
410,410,Isaac Perlmutter,Perlmutter,isaac-perlmutter,isaac-perlmutter,4123.77,-117.5,72,Marvel comics,Media,M,United States,"Chief Executive Officer, Marvel Entertainment",1448641501521,3800
411,411,Emanuele (Lino) Saputo,Saputo,emanuele-lino-saputo,emanuele-lino-saputo,4115.057,-22.588,78,cheese,Food and Beverage,M,Canada,"Chairman, Saputo",1448641501521,4800
412,412,Mark Scheinberg,Scheinberg,mark-scheinberg,mark-scheinberg,4100,0,41,online gambling,Gaming,M,Canada,,1448641501521,4100
413,413,James Jannard,Jannard,james-jannard,james-jannard,4090.402,0,66,sunglasses,Fashion and Retail,M,United States,,1448641501521,3700
414,414,Niels Peter Louis-Hansen,Louis-Hansen,niels-peter-louis-hansen,niels-peter-louis-hansen,4083.919,5.441,68,medical devices,Healthcare,M,Denmark,,1448641501521,3900
415,415,Pang Kang,Pang,pang-kang,no-pic,4083.618,-69.237,59,soy sauce maker,Food and Beverage,M,China,,1448641501521,3300
416,416,Martha Ingram,Ingram,martha-ingram,martha-ingram,4073.507,0.672,80,"book distribution, transportation",Media,F,United States,"Former Chairman, Ingram Industries, Inc.",1448641501521,4100
417,417,Prince Sultan bin Mohammed bin Saud Al Kabeer,Al Kabeer,prince-sultan-bin-mohammed-bin-saud-al-kabeer,prince-sultan-bin-mohammed-bin-saud-al-kabeer,4073.357,19.723,61,dairy farms,Food and Beverage,M,Saudi Arabia,,1448641501521,4100
418,418,H. Ross Perot Sr,Perot,h-ross-perot-sr,h-ross-perot-sr,4050.622,0,85,"computer services, real estate",Diversified,M,United States,,1448641501521,3700
419,419,Americo Amorim,Amorim,americo-amorim,americo-amorim,4046.653,-7.753,81,"energy, investments",Diversified,M,Portugal,,1448641501521,4400
420,420,Yu Yong,Yu,yu-yong,no-pic,4040.752,-312.036,54,mining investments,Investments,M,China,,1448641501521,3100
421,421,Fredrik Lundberg,Lundberg,fredrik-lundberg,fredrik-lundberg,4037.17,27.754,64,"real estate, investments",Real Estate,M,Sweden,,1448641501521,3700
422,422,Chey Tae-Won,Chey,chey-tae-won,chey-tae-won,4035.623,210.521,54,computer services/telecoms,Telecom,M,South Korea,,1448641501521,3500
423,423,Savitri Jindal,Jindal,savitri-jindal,savitri-jindal,3998.786,39.701,65,steel,Metals & Mining,F,India,,1448641501521,5300
424,424,Lars Larsen,Larsen,lars-larsen,lars-larsen,3997.812,0,67,retail,Retail,M,Denmark,,1448641501521,3900
425,425,Huang Rulun,Huang,huang-rulun,huang-rulun,3991.933,0,64,real estate,Real Estate,M,China,,1448641501521,3100
426,426,Samuel Yin,Yin,samuel-yin,samuel-yin,3978.378,43.803,65,diversified,Diversified,M,Taiwan,,1448641501521,3800
427,427,Leandro Rizzuto,Rizzuto,leandro-rizzuto,no-pic,3964.248,0,77,consumer products,Manufacturing,M,United States,,1448641501521,3300
428,428,Andrei Guriev,Guriev,andrei-guriev,andrei-guriev,3961.577,-26.785,55,fertilizers,Manufacturing,M,Russia,,1448641501521,3500
429,429,Terrence Pegula,Pegula,terrence-pegula,terrence-pegula,3950.8,0,64,natural gas,Energy,M,United States,"Owner, Buffalo Sabres",1448641501521,3800
430,430,J. Christopher Reyes,Reyes,j-christopher-reyes,j-christopher-reyes,3944.819,0,61,food distribution,Food and Beverage,M,United States,"Co-Chairman, Reyes Holdings, LLC",1448641501521,4000
431,430,Jude Reyes,Reyes,jude-reyes,no-pic,3944.819,0,60,food distribution,Food and Beverage,M,United States,"Co-Chairman, Reyes Holdings, LLC",1448641501521,4000
432,432,Lottie Tham,Tham,lottie-tham,no-pic-female,3943.989,13.828,66,H&M,Fashion and Retail,F,Sweden,,1448641501521,4300
433,433,David Sun,Sun,david-sun,david-sun,3932.612,0,64,computer hardware,Technology,M,United States,"COO, Kingston Technology Corporation",1448641501521,5000
434,433,John Tu,Tu,john-tu,john-tu,3932.612,0,74,computer hardware,Technology,M,United States,"President, Kingston Technology Corporation",1448641501521,5000
435,435,Wang Wei,Wang,wang-wei,wang-wei,3928.837,0,44,package delivery service,Service,M,China,,1448641501521,4200
436,436,Sheldon Solow,Solow,sheldon-solow,sheldon-solow,3926,0,87,real estate,Real Estate,M,United States,,1448641501521,3600
437,437,Igor Olenicoff,Olenicoff,igor-olenicoff,igor-olenicoff,3924.563,0,73,real estate,Real Estate,M,United States,,1448641501521,3600
438,438,Steven Rales,Rales,steven-rales,steven-rales,3909.623,-1.968,64,manufacturing,Manufacturing,M,United States,"Chairman, Danaher",1448641501521,3700
439,439,Daniel Gilbert,Gilbert,daniel-gilbert,daniel-gilbert,3908.581,0,53,Quicken Loans,Finance,M,United States,,1448641501521,4700
440,440,Murat Ulker,Ulker,murat-ulker,murat-ulker,3903.678,-24.313,56,food manufacturing,Food and Beverage,M,Turkey,,1448641501521,4400
441,441,Nathan Kirsh,Kirsh,nathan-kirsh,nathan-kirsh,3901.164,-1.895,83,"retail, real estate",Fashion and Retail,M,Swaziland,,1448641501521,3900
442,442,Anthony Bamford,Bamford,anthony-bamford,anthony-bamford,3900.256,0,70,construction equipment,Construction & Engineering,M,United Kingdom,,1448641501521,4300
443,443,John Morris,Morris,john-morris,john-morris,3891.692,0,67,sporting goods retail,Retail,M,United States,,1448641501521,4100
444,444,Lin Rong San,Lin,lin-rong-san,lin-rong-san,3877.287,2.237,76,real estate,Real Estate,M,Taiwan,,1448641501521,4200
445,445,Pan Zhengmin,Pan,pan-zhengmin,pan-zhengmin,3869.552,-3.195,45,electronics,Technology,M,China,,1448641501521,3500
446,446,Sun Piaoyang,Sun,sun-piaoyang,sun-piaoyang,3850.5,-61.3,57,pharmaceuticals,Healthcare,M,China,,1448641501521,2100
447,447,Giuseppe De'Longhi,De'Longhi,giuseppe-delonghi,no-pic,3844.269,5.734,76,coffee makers,Fashion and Retail,M,Italy,,1448641501521,2900
448,448,James Packer,Packer,james-packer,james-packer,3843.846,-36.063,48,casinos,Diversified,M,Australia,,1448641501521,5200
449,449,Benu Gopal Bangur,Bangur,benu-gopal-bangur,benu-gopal-bangur,3839.827,24.489,84,cement,Manufacturing,M,India,,1448641501521,4100
450,450,Jorge Perez,Perez,jorge-perez,jorge-perez,3839.56,0,66,condos,Real Estate,M,United States,,1448641501521,3100
451,451,Walter Scott Jr,Scott,walter-scott-jr,walter-scott-jr,3828.065,0.77,84,"utilities, telecom",Energy,M,United States,"Chairman, Level 3 Communications",1448641501521,3600
452,452,Horst Paulmann,Paulmann,horst-paulmann,horst-paulmann,3804.652,0.233,80,retail,Fashion and Retail,M,Chile,,1448641501521,4400
453,453,Bernard Ecclestone,Ecclestone,bernard-ecclestone,bernard-ecclestone,3794.04,0,85,Formula One,Sports,M,United Kingdom,,1448641501521,3900
454,454,David Cheriton,Cheriton,david-cheriton,david-cheriton,3791.372,0.845,64,Google,Technology,M,Canada,"Professor, Stanford University",1448641501521,2900
455,455,Peter Hargreaves,Hargreaves,peter-hargreaves,peter-hargreaves,3789.745,8.573,69,financial services,Finance,M,United Kingdom,,1448641501521,2800
456,456,Bernard Marcus,Marcus,bernard-marcus,bernard-marcus,3770.5,18.25,86,Home Depot,Fashion and Retail,M,United States,"Co-founder, ex chairman of the board, Home Depot",1448641501521,3800
457,457,Diane Hendricks,Hendricks,diane-hendricks,diane-hendricks,3760.106,0,68,roofing,Manufacturing,F,United States,"Cofounder and Chairman, ABC Supply",1448641501521,3600
458,458,Russ Weiner,Weiner,russ-weiner,russ-weiner,3757.363,0,45,energy drinks,Food and Beverage,M,United States,,1448641501521,2100
459,459,Wu Yajun,Wu,wu-yajun,wu-yajun,3748.231,-85.44,51,real estate,Real Estate,F,China,"Cofounder-chair, Longfor Properties",1448641501521,3400
460,460,Roger Wang,Wang,roger-wang,roger-wang,3748.17,539.989,66,retail,Fashion and Retail,M,United States,,1448641501521,3200
461,461,Alexander Abramov,Abramov,alexander-abramov,alexander-abramov,3745.758,-9.678,56,"steel, mining",Metals & Mining,M,Russia,,1448641501521,4500
462,462,Alexander Svetakov,Svetakov,alexander-svetakov,alexander-svetakov,3742.286,0,47,"banking, real estate",Finance,M,Russia,,1448641501521,3100
463,463,Frederick Smith,Smith,frederick-smith,frederick-smith,3741.971,28.594,71,FedEx,Logistics,M,United States,"Chairman and CEO, FedEx",1448641501521,3900
464,464,Idan Ofer,Ofer,idan-ofer,idan-ofer,3739.872,18.466,60,"drilling, shipping",Diversified,M,Israel,,1448641501521,4800
465,465,George Ty,Ty,george-ty,george-ty,3739.049,-67.661,82,banking,Finance,M,Philippines,,1448641501521,4400
466,466,Vikram Lal,Lal,vikram-lal,vikram-lal,3738.012,-18.266,73,motorcycles,Automotive,M,India,,1448641501521,3900
467,467,Nancy Walton Laurie,Laurie,nancy-walton-laurie,nancy-walton-laurie,3736.89,-9.45,64,Wal-Mart,Fashion and Retail,F,United States,,1448641501521,4700
468,468,Traudl Engelhorn,Engelhorn,traudl-engelhorn,no-pic-female,3730,0,,pharmaceuticals/medical equipment,Healthcare,F,Germany,,1448641501521,3700
469,468,Ursula Engelhorn,Engelhorn,ursula-engelhorn,no-pic-female,3730,0,,pharmaceuticals/medical equipment,Healthcare,F,Germany,,1448641501521,3700
470,470,Bubba Cathy,Cathy,bubba-cathy,bubba-cathy,3717.493,0,61,Chick-Fil-A,Food and Beverage,M,United States,,1448641501521,3200
471,470,Dan Cathy,Cathy,dan-cathy,dan-cathy,3717.493,0,62,Chick-Fil-A,Food and Beverage,M,United States,,1448641501521,3200
472,472,Dmitry Kamenshchik,Kamenshchik,dmitry-kamenshchik,dmitry-kamenshchik,3709.14,0,47,airport,Service,M,Russia,,1448641501521,3800
473,473,Andrew Tan,Tan,andrew-tan,andrew-tan,3706.867,-33.535,63,diversified,Diversified,M,Philippines,,1448641501521,4800
474,474,Ronda Stryker,Stryker,ronda-stryker,ronda-stryker,3702.973,21.792,61,medical equipment,Healthcare,F,United States,,1448641501521,3700
475,475,Ye Chenghai,Ye,ye-chenghai,ye-chenghai,3692.348,-189.986,72,pharmaceuticals,Healthcare,M,Hong Kong,,1448641501521,3000
476,476,M.A. Yusuff Ali,Yusuff Ali,ma-yusuff-ali,ma-yusuff-ali,3683.221,0,60,retail,Retail,M,India,,1448641501521,2500
477,477,Mitchell Rales,Rales,mitchell-rales,mitchell-rales,3676.534,-2.043,59,"manufacturing, investments",Manufacturing,M,United States,,1448641501521,4000
478,478,Theo Mueller,Mueller,theo-mueller,theo-mueller,3672.335,0,75,dairy,Food and Beverage,M,Germany,,1448641501521,3700
479,479,Steven Udvar-Hazy,Udvar-Hazy,steven-udvar-hazy,steven-udvar-hazy,3666.689,1.165,69,aircraft leasing,Service,M,United States,"CEO and Chairman, Air Lease Corp.",1448641501521,3700
480,480,Krit Ratanarak,Ratanarak,krit-ratanarak,krit-ratanarak,3665.007,-35.388,69,"media, real estate",Media,M,Thailand,,1448641501521,3800
481,481,Pansy Ho,Ho,pansy-ho,pansy-ho,3659.175,-23.891,53,casinos,Gaming,F,Hong Kong,,1448641501521,5000
482,482,Li Zhongchu,Li,li-zhongchu,no-pic,3656.916,-406.001,52,software,Technology,M,China,,1448641501521,3300
483,483,Archie Aldis Emmerson,Emmerson,archie-aldis-emmerson,archie-aldis-emmerson,3650.816,0,86,"timberland, lumber mills",Manufacturing,M,United States,,1448641501521,3600
484,484,Julian Robertson Jr,Robertson,julian-robertson-jr,julian-robertson-jr,3650,0,83,hedge funds,Investments,M,United States,,1448641501521,3400
485,485,Kevin Plank,Plank,kevin-plank,kevin-plank,3649.174,-67.796,43,Under Armour,Fashion and Retail,M,United States,"Chairman and CEO, Under Armour",1448641501521,3100
486,486,Francis Choi,Choi,francis-choi,francis-choi,3646.669,4.944,68,real estate,Real Estate,M,Hong Kong,,1448641501521,3700
487,487,Shigenobu Nagamori,Nagamori,shigenobu-nagamori,shigenobu-nagamori,3638.819,-68.767,71,motors,Manufacturing,M,Japan,,1448641501521,3300
488,488,Peter Buck,Buck,peter-buck,peter-buck,3621.156,0,84,Subway sandwich shops,Food and Beverage,M,United States,"Co-Founder, Doctor's Associates (Subway)",1448641501521,2500
489,489,Pollyanna Chu,Chu,pollyanna-chu,pollyanna-chu,3619.14,-29.805,57,financial services,Finance,F,Hong Kong,,1448641501521,1550
490,490,Dan Friedkin,Friedkin,dan-friedkin,dan-friedkin,3614.133,0,50,Toyota dealerships,Automotive,M,United States,"owner and ceo, Gulf States Toyota",1448641501521,3300
491,491,Mary Alice Dorrance Malone,Malone,mary-alice-dorrance-malone,no-pic-female,3601.552,28.458,65,Campbell Soup,Food and Beverage,F,United States,,1448641501521,3200
492,492,Gustavo Cisneros,Cisneros,gustavo-cisneros,gustavo-cisneros,3600.839,0,70,media,Media,M,Venezuela,,1448641501521,3600
493,493,Frank Wang,Wang,frank-wang,frank-wang,3600,0,35,drones,Technology,M,China,"Founder and CEO, DJI Technology Co.",1448641501521,
494,494,Kieu Hoang,Hoang,kieu-hoang,kieu-hoang,3599.282,-382.222,71,pharmaceuticals,Healthcare,M,United States,,1448641501521,2200
495,495,Alain Merieux,Merieux,alain-merieux,alain-merieux,3596.709,15.503,77,pharmaceuticals,Healthcare,M,France,,1448641501521,3500
